flight_number,airline,from,from_name,from_province,to,to_name,to_province,date,depart_time_local,arrive_time_local,price,currency
VN2601,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-13,16:00,19:10,1677429,VND
QH7069,Bamboo Airways,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-08,13:45,14:55,1306219,VND
QH5473,Vietjet Air,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,2026-04-14,05:00,07:30,1841273,VND
VN1439,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-14,17:45,18:15,1648983,VND
VJ5305,Bamboo Airways,VII,Sân bay Vinh,Nghệ An,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-11,10:45,13:15,3392296,VND
VJ7982,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-02,08:15,11:15,3420918,VND
VN8035,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-14,13:45,15:55,2166737,VND
VN9332,Vietnam Airlines,DLI,Sân bay quốc tế Liên Khương,Lâm Đồng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-24,06:15,09:25,2741041,VND
QH9046,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-31,17:15,19:25,2872822,VND
VN3004,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-13,09:30,12:50,3089950,VND
QH1433,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-11,19:45,21:05,3299977,VND
VN6618,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-17,12:15,15:45,1607523,VND
QH5847,Bamboo Airways,VII,Sân bay Vinh,Nghệ An,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-26,06:15,08:25,997836,VND
VJ8595,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-02,10:45,12:55,2633311,VND
VN3398,Vietnam Airlines,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,2026-04-08,16:45,18:05,1143803,VND
QH9060,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-29,17:30,20:30,1890617,VND
QH5383,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-11,13:30,15:00,1457333,VND
VJ6880,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-19,15:45,17:15,2148219,VND
QH2124,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-01,13:45,15:15,1691176,VND
VJ4167,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-08,17:45,20:55,3426251,VND
QH6535,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-14,05:15,06:35,2815415,VND
VN3485,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-13,12:30,15:40,1161677,VND
VJ6902,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-30,15:00,18:00,1033936,VND
VJ6830,Vietnam Airlines,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-03,07:15,08:15,1274582,VND
VN9714,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-18,20:00,21:30,3136745,VND
QH5855,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-09,20:45,21:15,2549860,VND
VJ1035,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-19,14:00,15:10,1742744,VND
VJ2333,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-04,11:30,12:40,1334717,VND
VN4299,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-17,18:00,19:10,1441339,VND
QH4055,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-31,11:30,12:00,2148031,VND
VJ7671,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-18,20:30,21:40,1680928,VND
VJ4744,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-04,15:30,16:00,2526438,VND
QH9858,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-29,16:00,19:20,2460563,VND
VJ5278,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-30,20:45,22:05,1179848,VND
VN1999,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-15,18:15,19:15,2330236,VND
VJ4491,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-28,19:45,20:15,2518041,VND
VN9832,Vietjet Air,VII,Sân bay Vinh,Nghệ An,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,2026-04-08,19:00,22:10,2505356,VND
VJ1652,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-17,11:45,13:45,3019088,VND
VN3457,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HUI,Sân bay quốc tế Phú Bài,Huế,2026-05-29,20:00,21:30,3421379,VND
VJ5177,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-05,19:45,21:55,1570538,VND
QH2416,Vietjet Air,HUI,Sân bay quốc tế Phú Bài,Huế,DLI,Sân bay quốc tế Liên Khương,Lâm Đồng,2026-04-09,07:00,08:00,2195115,VND
VJ3033,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-26,11:30,14:00,2425380,VND
QH4129,Vietnam Airlines,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-06,19:45,20:15,2250617,VND
VJ5860,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-06,15:15,16:35,3453447,VND
VN8509,Bamboo Airways,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-17,09:45,11:45,1553813,VND
VN8170,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-19,20:15,22:15,2730638,VND
VN8953,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-05,17:30,18:40,1599815,VND
QH9517,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-30,13:00,14:30,2685061,VND
VJ8936,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-24,12:00,15:20,1982411,VND
QH4327,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-12,10:15,12:15,2882589,VND
QH4827,Vietjet Air,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,HUI,Sân bay quốc tế Phú Bài,Huế,2026-04-30,12:30,14:40,2566248,VND
VJ7378,Vietnam Airlines,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-03,14:30,16:30,2156566,VND
VN5259,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-16,16:30,17:00,3235129,VND
QH3553,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HUI,Sân bay quốc tế Phú Bài,Huế,2026-04-15,07:45,09:45,1219103,VND
VJ3537,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-28,09:00,10:20,1407415,VND
VN7970,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-09,17:15,20:15,3055666,VND
VN2695,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-26,11:45,12:15,1780989,VND
QH5741,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-18,11:15,13:45,2941025,VND
QH2531,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-08,18:45,21:15,3210630,VND
VN5754,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-15,06:30,07:00,1669991,VND
VJ1341,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-24,14:00,17:30,1827048,VND
QH2312,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-12,20:00,22:10,1555534,VND
QH2048,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-17,09:15,11:25,947699,VND
QH1570,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-18,14:00,16:30,1014761,VND
QH7310,Vietjet Air,VII,Sân bay Vinh,Nghệ An,HUI,Sân bay quốc tế Phú Bài,Huế,2026-04-10,15:15,17:35,1913107,VND
VJ2043,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-17,14:30,15:50,1554665,VND
VJ5655,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-28,15:15,17:15,2962089,VND
QH9780,Vietnam Airlines,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-24,11:00,13:20,1755465,VND
VJ7097,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-14,20:00,21:00,3404178,VND
QH2538,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-28,17:15,20:35,3252717,VND
QH5009,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-20,16:45,17:15,1892105,VND
VJ5052,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-11,12:00,14:30,2692218,VND
VJ8978,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-08,10:15,12:15,2604166,VND
VJ7868,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-06,06:15,07:15,3476653,VND
VN2841,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-29,06:30,09:40,2233774,VND
VJ4687,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-14,06:15,07:45,3278280,VND
VN5062,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-15,08:15,10:45,1737744,VND
QH8643,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-24,15:30,17:30,1705127,VND
QH5616,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-13,19:00,20:20,2323054,VND
QH9848,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HUI,Sân bay quốc tế Phú Bài,Huế,2026-05-31,14:00,15:10,3234720,VND
QH7350,Bamboo Airways,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-25,09:15,12:15,1296800,VND
QH8188,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-01,14:15,16:35,1630111,VND
QH4653,Vietnam Airlines,HUI,Sân bay quốc tế Phú Bài,Huế,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-15,11:15,14:25,1027741,VND
QH3072,Bamboo Airways,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-18,06:45,07:55,1840117,VND
VN8870,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-10,16:45,17:45,1854906,VND
VJ2146,Bamboo Airways,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-03,12:00,15:10,1893764,VND
VJ5137,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-11,17:45,20:55,3412896,VND
QH1816,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-08,13:30,14:40,3008993,VND
VJ7800,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-12,08:45,11:55,1061985,VND
VJ8020,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-23,14:00,15:30,1319468,VND
VJ9490,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-19,20:45,22:45,1606754,VND
VN4262,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,VII,Sân bay Vinh,Nghệ An,2026-05-28,05:00,08:20,963279,VND
VN7561,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-03,08:00,10:30,2111315,VND
VN1683,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,2026-05-13,14:15,16:35,2988248,VND
VJ3865,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-06,09:00,11:30,1401411,VND
QH9174,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-14,14:00,15:20,2492275,VND
VJ9076,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-16,12:30,14:00,1530218,VND
QH8735,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-01,09:30,10:00,1177966,VND
VJ2754,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-09,14:45,16:55,2541426,VND
VN9227,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-30,13:15,16:35,2218913,VND
VN3396,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,2026-05-08,20:15,21:45,1957490,VND
VJ5456,Vietjet Air,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-18,05:30,08:50,1907300,VND
VJ5920,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-11,10:00,12:00,3344214,VND
VN2261,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-01,12:00,14:20,1206630,VND
VJ4836,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DLI,Sân bay quốc tế Liên Khương,Lâm Đồng,2026-05-17,07:15,10:45,2452804,VND
VJ2594,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-04,18:00,21:00,1756843,VND
VN9212,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-04,17:45,19:05,1143541,VND
VJ1862,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-11,16:30,18:30,1045364,VND
VN9802,Vietjet Air,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,VII,Sân bay Vinh,Nghệ An,2026-04-17,08:15,09:45,2220705,VND
QH5407,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-21,19:30,21:40,1121608,VND
VN6690,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-14,12:00,14:20,1731005,VND
VN4542,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-19,16:45,18:15,1887919,VND
QH9638,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-19,13:30,14:40,2332674,VND
QH4578,Vietnam Airlines,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,DLI,Sân bay quốc tế Liên Khương,Lâm Đồng,2026-06-04,16:30,17:40,1972236,VND
VJ1687,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-01,12:45,14:15,2323238,VND
VN4621,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-24,11:00,13:30,3097985,VND
VJ7369,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-11,19:45,22:45,1905915,VND
QH5867,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-04-22,18:15,21:15,1983911,VND
VN3764,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-05,07:00,09:00,1781631,VND
QH6144,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-17,16:15,17:35,1242238,VND
VN1118,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-15,15:45,18:45,2471062,VND
VJ3008,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-21,14:00,15:10,2818688,VND
VJ5547,Bamboo Airways,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-05-22,08:00,10:30,1621008,VND
VN6362,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-21,15:45,16:55,1878210,VND
QH3609,Bamboo Airways,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-04-26,16:30,18:00,3447212,VND
QH8779,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-04-18,10:45,12:45,1824020,VND
QH2130,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-23,19:45,20:15,2607485,VND
VJ8397,Vietnam Airlines,VII,Sân bay Vinh,Nghệ An,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-30,05:15,08:45,1597685,VND
VJ3517,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-28,16:15,19:15,1385448,VND
VJ2188,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-23,16:15,18:15,2150986,VND
VJ5009,Vietjet Air,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-10,20:15,21:45,1989426,VND
VJ2270,Vietjet Air,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,2026-05-07,15:00,16:20,1320948,VND
QH3123,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,VCA,Sân bay quốc tế Cần Thơ,Cần Thơ,2026-05-26,14:00,17:20,3410783,VND
QH9277,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-04-24,19:30,20:50,3374363,VND
QH2826,Vietjet Air,CXR,Sân bay quốc tế Cam Ranh,Khánh Hòa,HUI,Sân bay quốc tế Phú Bài,Huế,2026-05-26,18:15,21:35,2147186,VND
QH5511,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-20,12:45,13:45,902645,VND
VJ4016,Vietnam Airlines,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-04-20,12:30,13:00,1002398,VND
VN7279,Bamboo Airways,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-06,08:00,11:30,2204382,VND
VN5789,Vietnam Airlines,HAN,Sân bay quốc tế Nội Bài,Hà Nội,HPH,Sân bay quốc tế Cát Bi,Hải Phòng,2026-05-17,12:15,15:35,3163345,VND
VN9404,Vietjet Air,BMV,Sân bay Buôn Ma Thuột,Đắk Lắk,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-05-18,13:45,16:05,2459487,VND
QH4590,Vietnam Airlines,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,HAN,Sân bay quốc tế Nội Bài,Hà Nội,2026-06-06,15:15,18:25,1236741,VND
VJ1780,Bamboo Airways,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,DAD,Sân bay quốc tế Đà Nẵng,Đà Nẵng,2026-06-05,19:45,21:05,2001598,VND
VJ6424,Vietjet Air,HAN,Sân bay quốc tế Nội Bài,Hà Nội,SGN,Sân bay quốc tế Tân Sơn Nhất,TP.HCM,2026-05-30,06:45,09:45,1861185,VND
